profile_link,education
https://www.whitecase.com/people/geraldine-amory,Bachelor of Laws Universite Saint-Louis de Bruxelles
https://www.whitecase.com/people/geraldine-amory,"University Foundation Programme St Clare's, Oxford"
https://www.whitecase.com/people/alissa-arms,Second State Exam Higher Regional Court of Berlin
https://www.whitecase.com/people/alissa-arms,LLM Intellectual Property and Information Law King's College London
https://www.whitecase.com/people/alissa-arms,Master of Laws (maitrise) European Law University of Paris II Pantheon-Assas
https://www.whitecase.com/people/alissa-arms,First State Exam Humboldt University of Berlin
https://www.whitecase.com/people/mario-barka,"LLM College of Europe, Bruges"
https://www.whitecase.com/people/mario-barka,Master's Degree University of Paris I Pantheon-Sorbonne
https://www.whitecase.com/people/mario-barka,LLB University of Strasbourg & University of Montreal
https://www.whitecase.com/people/sara-ben-othmen,Master of Laws University of Brussels
https://www.whitecase.com/people/sara-ben-othmen,Bachelor of Laws University of Brussels
https://www.whitecase.com/people/cornelius-borner,Master of Laws University of Durham
https://www.whitecase.com/people/cornelius-borner,Second State Exam Higher Regional Court of Frankfurt am Main
https://www.whitecase.com/people/cornelius-borner,First State Exam University of Heidelberg
https://www.whitecase.com/people/martina-castren,LLM Harvard Law School Fulbright Scholar
https://www.whitecase.com/people/martina-castren,LLM University of Helsinki
https://www.whitecase.com/people/martina-castren,MSc Economics and Business Administration Hanken School of Economics
https://www.whitecase.com/people/martina-castren,Postgraduate Diploma Economics for Competition Law King's College London
https://www.whitecase.com/people/elien-claeys,LLM University of Edinburgh
https://www.whitecase.com/people/elien-claeys,Master of Law KU Leuven
https://www.whitecase.com/people/elien-claeys,Erasmus University of Bordeaux IV
https://www.whitecase.com/people/elien-claeys,Bachelor of Law KU Leuven
https://www.whitecase.com/people/antoine-cleret,Law Degree Universite Catholique de Louvain
https://www.whitecase.com/people/william-de-catelle,LLM Catholic University of Leuven
https://www.whitecase.com/people/william-de-catelle,LLM King's College London
https://www.whitecase.com/people/william-de-catelle,LLB University of Antwerp
https://www.whitecase.com/people/edouard-de-walque,Master in Management London Business School
https://www.whitecase.com/people/edouard-de-walque,Master of Laws Universite Catholique de Louvain-la-Neuve
https://www.whitecase.com/people/edouard-de-walque,Erasmus Durham University
https://www.whitecase.com/people/edouard-de-walque,Bachelor of Laws Universite Saint-Louis de Bruxelles
https://www.whitecase.com/people/marios-gavriiloglou,LLM University of Chicago Law School
https://www.whitecase.com/people/marios-gavriiloglou,LLM National and Kapodistrian University of Athens
https://www.whitecase.com/people/marios-gavriiloglou,LLB National and Kapodistrian University of Athens
https://www.whitecase.com/people/guillermo-giralda-fustes,Master International Affairs Hertie School
https://www.whitecase.com/people/guillermo-giralda-fustes,LLM College of Europe
https://www.whitecase.com/people/guillermo-giralda-fustes,"LLB Politics, Philosophy & Law King's College London"
https://www.whitecase.com/people/guillermo-giralda-fustes,Georgetown University Visiting student
https://www.whitecase.com/people/scott-goldner,Juris Doctor Sandra Day O'Connor College of Law Arizona State University
https://www.whitecase.com/people/scott-goldner,Bachelor of Laws University of Oregon
https://www.whitecase.com/people/nick-hallemeesch,Doctor of Laws (PhD) KU Leuven
https://www.whitecase.com/people/nick-hallemeesch,Master of Laws Harvard Law School
https://www.whitecase.com/people/nick-hallemeesch,Master of Law KU Leuven
https://www.whitecase.com/people/nick-hallemeesch,Erasmus University of Montpellier
https://www.whitecase.com/people/marika-harjula,"LPC The College of Law, London UK"
https://www.whitecase.com/people/marika-harjula,LLM EU Business Law University of Amsterdam the Netherlands
https://www.whitecase.com/people/marika-harjula,LLB Law and European Studies University of Surrey UK
https://www.whitecase.com/people/philippe-hendrickx,LLM International Business and Commercial Law King's College London
https://www.whitecase.com/people/philippe-hendrickx,Postgraduate master in Company Law Free University of Brussels
https://www.whitecase.com/people/philippe-hendrickx,Master of Laws University of Leuven
https://www.whitecase.com/people/philippe-hendrickx,Erasmus University of Toulouse 1 Capitole
https://www.whitecase.com/people/philippe-hendrickx,Bachelor of Laws Catholic University of Brussels
https://www.whitecase.com/people/julien-hislaire,LLM New York University School of Law
https://www.whitecase.com/people/julien-hislaire,Master in Law Universite Libre de Bruxelles
https://www.whitecase.com/people/julien-hislaire,Bachelor in Law Universite Saint-Louis
https://www.whitecase.com/people/julien-hislaire,Bachelor in Political Science Universite Saint-Louis
https://www.whitecase.com/people/julien-hislaire,Certificate in Social Sciences and Humanities Queen Mary University of London
https://www.whitecase.com/people/alexandre-hublet,"LL.M in International Business Regulation, Litigation and Arbitration New York University School of Law"
https://www.whitecase.com/people/alexandre-hublet,Master in Law Universite Libre de Bruxelles
https://www.whitecase.com/people/alexandre-hublet,Bachelor of Law Universite Libre de Bruxelles
https://www.whitecase.com/people/kate-kelliher,LPC BPP Law School
https://www.whitecase.com/people/kate-kelliher,GDL BPP Law School
https://www.whitecase.com/people/kate-kelliher,MPhil Masters in Philosophy Cambridge University
https://www.whitecase.com/people/kate-kelliher,LLM Master of Laws University of Nottingham
https://www.whitecase.com/people/kate-kelliher,Bachelor of Law University College Cork
https://www.whitecase.com/people/joao-lacerda,LLM University of Cambridge
https://www.whitecase.com/people/joao-lacerda,LLB University of Brasilia
https://www.whitecase.com/people/louise-lundberg,LLM College of Europe Bruges
https://www.whitecase.com/people/louise-lundberg,LLM University of Gothenburg
https://www.whitecase.com/people/louise-lundberg,LLB University of Paris II Pantheon-Assas
https://www.whitecase.com/people/vladimir-nyagolov,Postgraduate diploma in EC Competition law King's College London
https://www.whitecase.com/people/vladimir-nyagolov,LLM Sofia University School of Law
https://www.whitecase.com/people/george-papaconstantinou,PhD European University Institute
https://www.whitecase.com/people/george-papaconstantinou,Columbia Law School
https://www.whitecase.com/people/george-papaconstantinou,LLM European University Institute
https://www.whitecase.com/people/george-papaconstantinou,LLM Catholic University of Leuven
https://www.whitecase.com/people/george-papaconstantinou,LLB Democritus University of Thrace
https://www.whitecase.com/people/niccolo-piga,Master en Droit Universite Libre de Bruxelles
https://www.whitecase.com/people/niccolo-piga,LLM King's College
https://www.whitecase.com/people/niccolo-piga,LLM Tilburg University
https://www.whitecase.com/people/niccolo-piga,LLB Tilburg University
https://www.whitecase.com/people/tommaso-poli,Master of Laws University of Bologna
https://www.whitecase.com/people/tommaso-poli,LLM King's College London
https://www.whitecase.com/people/stefania-sacuiu,Universite Libre de Bruxelles
https://www.whitecase.com/people/stefania-sacuiu,Universite Saint-Louis
https://www.whitecase.com/people/iakovos-sarmas,LLM Columbia Law School
https://www.whitecase.com/people/iakovos-sarmas,LLM University of Cambridge
https://www.whitecase.com/people/iakovos-sarmas,LLB University of Athens
https://www.whitecase.com/people/eline-souffriau,Master of Law London School of Economics and Political Science
https://www.whitecase.com/people/eline-souffriau,Master of Law University of Ghent
https://www.whitecase.com/people/eline-souffriau,International Exchange University of Miami School of Law
